;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,
;,Central HPWH Compressors look-up table,,,,,,,,,,,
;,Last modified:,,08/03/26 - SAC,,,,,,,,,
;,,,,,,,,,,,,
;,Source Data:,,"Ben Larson, Paul Kintner, Chip Barnaby & Bruce Wilcox - 2020 CHPWH dev team",,,,,,,,,
;,,,,,,,,,,,,
;,Mod history:,,"08/03/26 - SAC - added new AOSmith, Laars, Nyle & Watts (and placeholder Rheem) models -AND- CHPWHCompTypeRpt column (to avoid having to edit rule logic for each added CHPWH) (dev #965)",,,,,,,,,
;,,,03/04/26 - SAC - added new IceAir models (dev #736),,,,,,,,,
;,,,12/18/24 - SAC - added new compressor type: Mitsubishi QAHV-N136TAU-HPB  (40kW cap @ 40F),,,,,,,,,
;,,,02/23/22 - SAC - added Nyle multi pass compressor types,,,,,,,,,
;,,,02/03/22 - SAC - updated Colmac CxV-5 compressor OutputCap from 10 to 14 kW,,,,,,,,,
;,,,01/18/22 - SAC - added multi pass compressor types,,,,,,,,,
;,,,"6/22/21 - SAC - added 'generic' 5, 11, 20, 26, 40 & 45 kW compressor types",,,,,,,,,
;,,,8/31/20 - SAC - created initial table from existing ruleset data and compressor capacity (kW) data from Ben Larson,,,,,,,,,
;,,,,,,,,,,,,
;,Independents:,,,,,,,,CSE Simulation Compressor Types,,,
;,,1,CHPWHCompType - numeric value that maps to DHWSys:CHPWHCompType,,,,,,TypeID,Name,OutputCap,
;,,,,,,,,,48,Colmac CxV-5,14,
;,Dependents:,,,,,,,,49,Colmac CxA-10,21,
;,,1,OutputCap - output heating capacity @ ambient 40 deg F,,,,,,50,Colmac CxA-15,29,
;,,,,,,,,,45,Colmac CxA-20,41,
;,,,,,,,,,51,Colmac CxA-25,49,
,TABLE T24RCHPWHCompressor,,,,,,,,52,Colmac CxA-30,57,
,,CHPWHCompType,OutputCap,CHPWHCompTypeRpt,,old name,new name,,53,Nyle C25A,5,
,,109,46,LochinvarAHP250MP,;,,"Lochinvar AHP250-*-***N****  (MP, 46kw cap @ 40F)",,,,,
,,205,11,AOSmithAHPA60MP,;,,"A. O. Smith AHPA-60-*-***N****  (MP, 11kw cap @ 40F)",,,,,
,,206,20,AOSmithAHPA90MP,;,,"A. O. Smith AHPA-90-*-***N****  (MP, 20kw cap @ 40F)",,,,,
,,207,26,AOSmithAHPA125MP,;,,"A. O. Smith AHPA-125-*-***N****  (MP, 26kw cap @ 40F)",,,,,
,,208,41,AOSmithAHPA185MP,;,,"A. O. Smith AHPA-185-*-***N****  (MP, 41kw cap @ 40F)",,,,,
,,209,46,AOSmithAHPA250MP,;,,"A. O. Smith AHPA-250-*-***N****  (MP, 46kw cap @ 40F)",,,,,
,,305,11,StateSHPA60MP,;,,"State SHPA-60-*-***N****  (MP, 11kw cap @ 40F)",,,,,
,,306,20,StateSHPA90MP,;,,"State SHPA-90-*-***N****  (MP, 20kw cap @ 40F)",,,,,
,,307,26,StateSHPA125MP,;,,"State SHPA-125-*-***N****  (MP, 26kw cap @ 40F)",,,,,
,,308,41,StateSHPA185MP,;,,"State SHPA-185-*-***N****  (MP, 41kw cap @ 40F)",,,,,
,,309,46,StateSHPA250MP,;,,"State SHPA-250-*-***N****  (MP, 46kw cap @ 40F)",,,,,
,,125,11,LochinvarAHP060CMP,;,,"Lochinvar AHP060-*-***C****  (MP, 11kw cap @ 40F)",,,,,
,,126,20,LochinvarAHP090CMP,;,,"Lochinvar AHP090-*-***C****  (MP, 20kw cap @ 40F)",,,,,
,,127,26,LochinvarAHP125CMP,;,,"Lochinvar AHP125-*-***C****  (MP, 26kw cap @ 40F)",,,,,
,,128,41,LochinvarAHP185CMP,;,,"Lochinvar AHP185-*-***C****  (MP, 41kw cap @ 40F)",,,,,
,,129,46,LochinvarAHP250CMP,;,,"Lochinvar AHP250-*-***C****  (MP, 46kw cap @ 40F)",,,,,
,,225,11,AOSmithAHPA60CMP,;,,"A. O. Smith AHPA-60-*-***C****  (MP, 11kw cap @ 40F)",,,,,
,,226,20,AOSmithAHPA90CMP,;,,"A. O. Smith AHPA-90-*-***C****  (MP, 20kw cap @ 40F)",,,,,
,,227,26,AOSmithAHPA125CMP,;,,"A. O. Smith AHPA-125-*-***C****  (MP, 26kw cap @ 40F)",,,,,
,,228,41,AOSmithAHPA185CMP,;,,"A. O. Smith AHPA-185-*-***C****  (MP, 41kw cap @ 40F)",,,,,
,,229,46,AOSmithAHPA250CMP,;,,"A. O. Smith AHPA-250-*-***C****  (MP, 46kw cap @ 40F)",,,,,
,,325,11,StateSHPA60CMP,;,,"State SHPA-60-*-***C****  (MP, 11kw cap @ 40F)",,,,,
,,326,20,StateSHPA90CMP,;,,"State SHPA-90-*-***C****  (MP, 20kw cap @ 40F)",,,,,
